pair,model,theil_u,direction_acc,mape_pct,category
USD_INR,Naive (random walk),1.0,50.0,0.23696381228329033,baseline
USD_INR,Chronos-Bolt,1.0453337696341547,63.33333333333333,0.34431635003263356,foundation_model
USD_INR,Prophet,2.071005176497187,41.66666666666667,,classical
USD_INR,AutoARIMA,0.998139663220132,61.66666666666667,,classical
USD_INR,AutoETS,1.0046226046622688,53.333333333333336,,classical
USD_INR,XGBoost,,51.66666666666667,,tabular_ml
USD_INR,AutoGluon (RecursiveTabular),3.7175215618882285,33.33333333333333,1.3442932097830682,automl
USD_INR,GARCH (volatility),0.713901819602783,,,volatility
USD_EUR,Naive (random walk),1.0,50.0,0.2980755040598907,baseline
USD_EUR,Chronos-Bolt,1.0373930392211634,46.666666666666664,0.29697824456096744,foundation_model
USD_EUR,Prophet,3.1128736695628123,53.333333333333336,,classical
USD_EUR,AutoARIMA,1.0,46.666666666666664,,classical
USD_EUR,AutoETS,0.9949940668544446,61.66666666666667,,classical
USD_EUR,XGBoost,,56.666666666666664,,tabular_ml
USD_EUR,AutoGluon (WeightedEnsemble),3.7262680499689376,43.333333333333336,0.8954344789806784,automl
USD_EUR,GARCH (volatility),0.698771839304588,,,volatility
USD_GBP,Naive (random walk),1.0,50.0,0.32382290127312213,baseline
USD_GBP,Chronos-Bolt,1.0360600006341794,51.66666666666667,0.31847148229455724,foundation_model
USD_GBP,Prophet,2.3635946812559157,63.33333333333333,,classical
USD_GBP,AutoARIMA,0.9725288037099137,63.33333333333333,,classical
USD_GBP,AutoETS,0.9951177471904566,58.333333333333336,,classical
USD_GBP,XGBoost,,55.00000000000001,,tabular_ml
USD_GBP,AutoGluon (WeightedEnsemble),1.2932187125283692,70.0,0.3710467758680486,automl
USD_GBP,GARCH (volatility),0.6832055430683424,,,volatility
USD_MXN,Naive (random walk),1.0,50.0,0.38709061736216793,baseline
USD_MXN,Chronos-Bolt,0.9966449619372749,53.333333333333336,0.4330308430119113,foundation_model
USD_MXN,Prophet,3.182763859520977,51.66666666666667,,classical
USD_MXN,AutoARIMA,0.9939392162217355,63.33333333333333,,classical
USD_MXN,AutoETS,0.9945084461411139,60.0,,classical
USD_MXN,XGBoost,,46.666666666666664,,tabular_ml
USD_MXN,AutoGluon (WeightedEnsemble),2.7085451025822445,66.66666666666666,0.8660358905745938,automl
USD_MXN,GARCH (volatility),0.7219006916929669,,,volatility
USD_PHP,Naive (random walk),1.0,50.0,0.3086370806306799,baseline
USD_PHP,Chronos-Bolt,1.0163553746023888,55.00000000000001,0.3943153200768724,foundation_model
USD_PHP,Prophet,2.523806369305492,55.00000000000001,,classical
USD_PHP,AutoARIMA,1.0046813323889443,56.666666666666664,,classical
USD_PHP,AutoETS,1.0035968003821265,55.00000000000001,,classical
USD_PHP,XGBoost,,60.0,,tabular_ml
USD_PHP,AutoGluon (TemporalFusionTransformer),4.100723560678499,40.0,1.778030824759176,automl
USD_PHP,GARCH (volatility),0.7653721609237087,,,volatility
